user_id,age,gender,occupation,device_type,daily_phone_hours,social_media_hours,work_productivity_score,sleep_hours,stress_level,app_usage_count,caffeine_intake_cups,weekend_screen_time_hours
U140,53,Other,Business Owner,Android,2,3,1,8,9,51,2,9
U141,18,Male,Business Owner,Android,3,7,1,9,5,59,4,12
U142,25,Male,Freelancer,iOS,11,1,8,4,8,52,4,9
U143,52,Female,Professional,Android,2,4,6,7,6,21,2,7
U144,35,Other,Professional,Android,8,3,7,4,5,51,3,5
U145,59,Male,Business Owner,iOS,7,5,9,5,5,6,1,6
U146,39,Male,Freelancer,iOS,5,1,9,6,3,34,2,6
U147,25,Male,Student,Android,2,5,7,8,9,5,1,10
U148,36,Other,Business Owner,Android,6,1,5,6,7,36,0,9
U149,45,Female,Student,iOS,5,2,1,7,2,15,6,11
U150,28,Male,Freelancer,iOS,3,3,9,9,6,43,2,9
U151,47,Other,Business Owner,iOS,7,6,1,5,7,56,0,3
U152,18,Female,Freelancer,iOS,3,5,1,5,1,16,4,9
U153,34,Female,Freelancer,iOS,8,4,8,7,6,52,1,12
U154,50,Male,Professional,Android,10,4,8,5,10,59,5,7
U155,29,Male,Professional,iOS,8,6,4,6,9,24,0,8
U156,50,Other,Student,iOS,6,1,7,8,4,37,3,9
U157,24,Other,Professional,Android,3,7,5,6,2,16,2,13
U158,58,Female,Professional,iOS,5,3,2,6,6,19,6,7
U159,37,Female,Freelancer,Android,5,3,7,9,7,52,1,5
U160,58,Male,Student,iOS,4,4,10,8,9,15,1,11
U161,50,Other,Student,iOS,12,1,8,6,10,15,3,9
U162,56,Female,Professional,Android,5,3,2,6,10,30,5,14
U163,30,Male,Professional,iOS,5,8,5,6,3,27,3,12
U164,27,Female,Professional,Android,2,7,7,5,1,41,0,6
U165,41,Female,Student,Android,8,8,1,8,1,24,2,5
U166,28,Male,Student,iOS,2,8,7,6,7,41,2,6
U167,52,Female,Student,Android,12,6,3,4,5,27,5,3
U168,51,Female,Student,Android,4,1,2,9,3,55,3,9
U169,18,Other,Professional,Android,2,1,7,4,1,55,6,12
U170,56,Other,Freelancer,Android,11,7,1,6,3,40,1,8
U171,38,Other,Professional,Android,5,7,9,7,2,56,2,6
U172,49,Male,Freelancer,iOS,2,4,7,4,1,56,5,10
U173,19,Other,Student,Android,6,4,9,9,8,26,4,9
U174,25,Female,Freelancer,Android,11,1,2,5,1,10,5,2
U175,41,Other,Professional,Android,12,8,7,7,2,12,2,3
U176,37,Other,Professional,iOS,10,8,9,5,6,18,3,4
U177,33,Male,Student,Android,4,6,5,6,3,57,2,3
U178,21,Other,Professional,iOS,5,5,8,5,8,11,2,13
U179,33,Male,Student,Android,5,1,6,7,7,31,2,11
U180,54,Female,Freelancer,Android,8,2,1,4,3,51,1,12
U181,23,Male,Student,Android,4,6,10,6,3,41,4,7
U182,23,Female,Student,Android,10,3,2,5,8,49,3,10
U183,49,Male,Student,iOS,4,2,2,5,5,50,2,12
U184,22,Male,Student,iOS,6,6,8,5,2,52,2,8
U185,52,Female,Freelancer,iOS,3,5,6,7,1,23,3,12
U186,26,Male,Student,iOS,2,2,5,4,4,25,6,5
U187,26,Male,Business Owner,iOS,6,7,4,5,5,29,3,5
U188,60,Female,Business Owner,iOS,6,7,6,8,9,40,5,12
U189,48,Male,Freelancer,Android,2,3,1,7,8,46,5,8
U190,53,Other,Professional,Android,4,4,9,4,4,42,5,12
U191,28,Other,Freelancer,iOS,2,7,6,5,4,18,3,5
U192,34,Male,Business Owner,iOS,1,2,9,8,1,25,4,3
U193,51,Other,Student,Android,3,4,7,6,6,41,0,13
U194,56,Other,Freelancer,Android,3,8,4,7,3,39,0,9
U195,45,Male,Student,iOS,3,5,5,8,1,33,4,5
U196,31,Female,Student,iOS,4,6,5,7,2,30,0,7
U197,52,Other,Student,iOS,5,3,9,6,10,54,2,5
U198,30,Male,Freelancer,iOS,4,3,4,8,1,43,3,5
U199,37,Other,Freelancer,Android,8,5,4,9,3,49,1,4
U200,43,Male,Professional,iOS,8,1,8,9,4,26,4,8
U201,60,Male,Business Owner,Android,5,3,2,9,9,53,5,14
U202,59,Female,Student,iOS,2,3,5,8,4,17,3,14
U203,41,Female,Business Owner,iOS,5,1,10,8,3,17,1,7
U204,46,Male,Professional,iOS,2,4,6,8,6,5,4,12
U205,51,Female,Student,iOS,6,5,9,7,1,13,6,10
U206,46,Male,Business Owner,Android,7,2,7,9,5,11,5,12
U207,25,Male,Freelancer,iOS,8,6,2,8,7,15,5,10
U208,33,Male,Freelancer,Android,3,7,2,4,10,10,2,6
U209,32,Female,Business Owner,iOS,7,7,6,4,9,13,3,4
U210,22,Male,Student,iOS,2,6,4,6,3,58,6,4
U211,39,Female,Business Owner,iOS,2,4,9,7,8,48,5,7
U212,19,Female,Freelancer,iOS,11,5,5,6,1,6,5,13
U213,55,Other,Freelancer,iOS,11,2,1,5,3,13,1,7
U214,53,Female,Professional,Android,4,7,8,7,4,57,1,14
U215,32,Female,Professional,iOS,3,3,3,5,9,59,2,7
U216,55,Female,Freelancer,Android,7,6,9,5,2,52,2,7
U217,32,Female,Freelancer,Android,11,1,10,6,1,13,4,8
U218,18,Other,Business Owner,iOS,1,6,6,5,7,36,3,6
U219,22,Female,Business Owner,Android,8,4,5,7,2,5,2,12
U220,58,Other,Professional,Android,7,6,3,7,10,42,4,10
U221,21,Other,Student,iOS,4,3,10,4,10,27,0,6
U222,32,Male,Business Owner,Android,3,8,1,5,5,14,6,13
U223,22,Other,Student,iOS,6,7,2,4,7,17,1,8
U224,20,Other,Student,Android,3,2,10,7,3,23,3,4
U225,39,Female,Business Owner,Android,7,2,6,8,5,52,1,9
U226,22,Female,Business Owner,iOS,2,7,4,7,10,19,0,7
U227,50,Other,Freelancer,Android,11,8,5,7,8,15,4,14
U228,33,Female,Student,iOS,10,6,7,5,8,59,5,2
U229,35,Other,Business Owner,Android,10,3,7,9,8,41,0,4
U230,60,Other,Freelancer,Android,2,6,8,6,2,20,6,3
U231,49,Female,Business Owner,Android,5,5,9,5,4,29,3,14
U232,31,Female,Student,iOS,10,2,3,8,3,42,0,10
U233,52,Other,Student,iOS,5,3,8,6,10,12,3,9
U234,26,Other,Freelancer,Android,6,8,3,8,2,15,0,2
U235,54,Male,Professional,Android,10,8,7,8,1,45,3,11
U236,54,Other,Freelancer,iOS,8,6,3,5,7,37,4,12
U237,48,Female,Student,iOS,2,2,9,8,5,21,1,11
U238,33,Female,Business Owner,Android,6,6,8,5,1,29,1,3
U239,48,Other,Professional,iOS,6,6,8,8,5,41,0,10
U240,44,Other,Freelancer,iOS,3,3,7,7,3,26,6,4
U241,30,Male,Freelancer,iOS,10,1,1,5,6,50,6,14
U242,24,Male,Student,Android,3,3,1,8,1,40,2,8
U243,24,Male,Business Owner,Android,9,6,2,8,8,57,0,8
U244,60,Female,Business Owner,Android,5,8,6,5,1,46,2,6
U245,45,Female,Freelancer,iOS,11,2,1,6,1,54,6,7
U246,40,Female,Professional,iOS,7,2,3,5,2,10,1,11
U247,45,Other,Student,iOS,4,6,6,6,9,23,2,4
U248,44,Female,Freelancer,Android,10,2,2,8,8,60,1,2
U249,47,Male,Freelancer,Android,3,3,4,7,6,25,2,10
U250,21,Other,Freelancer,iOS,5,6,8,6,9,13,1,14
U251,59,Female,Business Owner,Android,3,0,8,9,8,44,1,3
U252,59,Female,Business Owner,iOS,3,5,8,7,1,59,2,10
U253,24,Other,Freelancer,iOS,11,7,10,5,1,18,2,9
U254,21,Female,Student,iOS,7,3,8,8,8,15,1,5
U255,43,Other,Business Owner,Android,4,3,1,8,9,30,5,10
U256,39,Other,Professional,iOS,5,6,6,5,3,11,0,12
U257,24,Male,Professional,iOS,3,3,5,8,3,56,4,10
U258,33,Other,Freelancer,Android,5,4,4,5,3,29,5,4
U259,30,Female,Professional,Android,3,2,7,5,5,26,3,14
U260,30,Male,Professional,iOS,3,3,10,5,4,58,4,7
U261,52,Female,Freelancer,iOS,12,5,7,6,8,15,2,7
U262,46,Other,Student,iOS,2,7,1,8,9,59,1,4
U263,26,Female,Freelancer,iOS,3,8,4,5,7,39,3,12
U264,45,Female,Student,Android,7,4,6,6,6,29,2,2
U265,29,Other,Student,Android,8,4,6,7,3,51,4,4
U266,35,Other,Professional,Android,10,8,2,8,2,12,2,2
U267,47,Male,Business Owner,iOS,3,5,3,8,3,54,4,6
U268,33,Male,Freelancer,iOS,4,6,5,9,4,36,0,12
U269,22,Male,Student,iOS,11,3,10,9,4,55,2,9
U270,46,Male,Business Owner,Android,4,2,6,6,7,11,1,14
U271,53,Male,Professional,Android,1,7,5,4,8,36,0,5
U272,24,Female,Business Owner,iOS,10,5,8,5,6,48,0,12
U273,21,Male,Freelancer,Android,9,3,8,7,2,23,3,13
U274,59,Other,Professional,Android,11,7,9,8,10,43,3,2
U275,52,Other,Student,iOS,10,2,3,7,3,41,5,3
U276,18,Male,Freelancer,iOS,7,4,8,7,10,41,3,4
U277,23,Male,Business Owner,iOS,10,6,5,7,2,13,6,9
U278,33,Female,Business Owner,Android,3,6,8,4,8,38,6,10
U279,28,Female,Student,Android,2,7,2,5,7,21,3,7
U280,44,Other,Freelancer,iOS,3,1,5,7,3,59,5,5
U281,49,Male,Professional,iOS,11,5,1,5,4,58,1,6
U282,48,Female,Professional,iOS,2,6,10,8,10,37,6,9
U283,31,Male,Student,iOS,12,6,2,8,2,40,0,5
U284,43,Female,Business Owner,iOS,8,6,4,8,7,34,5,5
U285,21,Male,Freelancer,iOS,5,3,8,8,4,19,3,14
U286,28,Male,Business Owner,Android,8,2,5,7,9,7,3,6
U287,42,Other,Freelancer,Android,9,4,10,5,5,31,4,4
U288,18,Other,Business Owner,Android,6,3,8,5,10,35,6,6
U289,42,Other,Professional,Android,6,8,5,4,6,13,6,11
U290,34,Male,Professional,iOS,5,1,8,7,5,12,4,9
U291,47,Male,Freelancer,Android,10,4,3,7,5,8,6,2
U292,36,Male,Business Owner,iOS,11,7,6,7,1,35,5,3
U293,45,Male,Student,iOS,3,1,1,4,2,55,4,5
U294,53,Other,Professional,iOS,9,8,10,8,8,13,2,10
U295,60,Female,Business Owner,iOS,6,2,3,6,3,29,1,4
U296,49,Other,Business Owner,iOS,9,6,7,6,2,15,1,9
U297,27,Other,Student,Android,2,2,6,8,3,19,5,7
U298,30,Male,Business Owner,iOS,8,7,5,8,9,18,6,11
U299,36,Other,Business Owner,Android,8,3,3,8,1,5,2,11
U300,31,Male,Student,iOS,9,2,4,5,9,59,5,2
U301,21,Male,Professional,Android,6,4,7,6,3,55,5,9
U302,55,Female,Student,iOS,11,1,2,4,10,44,5,11
U303,52,Female,Student,iOS,7,7,9,7,1,27,1,12
U304,21,Female,Professional,iOS,8,1,3,5,1,38,6,6
U305,38,Other,Student,iOS,1,2,2,8,9,52,5,11
U306,21,Male,Business Owner,Android,11,1,3,8,8,15,0,8
U307,21,Male,Freelancer,Android,6,5,1,6,3,59,0,8
U308,55,Male,Student,Android,12,6,5,8,9,27,1,6
U309,48,Female,Professional,iOS,7,1,3,4,3,14,5,14
U310,50,Male,Professional,iOS,2,6,8,7,8,59,6,9
U311,51,Other,Business Owner,Android,6,7,3,7,8,33,4,4
U312,28,Male,Freelancer,Android,11,8,4,8,3,41,0,12
U313,21,Male,Student,iOS,9,7,7,6,10,34,6,6
U314,50,Other,Student,iOS,8,3,5,5,10,49,3,14
U315,23,Male,Professional,Android,4,1,6,6,9,18,5,9
U316,29,Other,Student,iOS,2,3,2,6,9,52,0,14
U317,22,Other,Student,Android,11,7,7,5,6,14,2,6
U318,56,Other,Freelancer,iOS,12,7,5,7,10,5,2,8
U319,22,Other,Business Owner,Android,8,6,1,5,1,48,3,5
U320,33,Other,Professional,Android,6,1,4,8,10,21,4,5
U321,43,Other,Freelancer,iOS,6,2,6,4,10,49,1,9
U322,25,Female,Freelancer,iOS,4,1,3,8,10,57,1,4
U323,54,Male,Professional,iOS,5,8,3,5,8,46,2,12
U324,33,Male,Professional,Android,8,2,5,5,7,29,0,8
U325,55,Male,Student,Android,10,1,2,8,10,14,4,6
U326,56,Female,Business Owner,iOS,9,5,7,7,8,60,0,10
U327,20,Female,Freelancer,iOS,5,8,3,4,10,21,5,4
U328,57,Other,Professional,Android,6,4,6,8,5,31,3,14
U329,23,Male,Student,iOS,2,6,7,8,5,42,6,13
U330,44,Other,Business Owner,iOS,12,7,6,8,6,22,2,12
U331,60,Female,Business Owner,Android,1,4,3,9,7,46,5,12
U332,55,Other,Freelancer,iOS,4,3,3,7,7,48,6,10
U333,54,Male,Business Owner,iOS,5,1,4,4,1,37,3,6
U334,51,Female,Student,Android,7,4,6,8,9,55,4,3
U335,38,Female,Professional,Android,2,2,8,7,1,45,1,10
U336,34,Male,Freelancer,iOS,8,2,5,8,7,54,5,13
U337,31,Female,Business Owner,iOS,7,2,5,7,1,13,0,13
U338,60,Male,Professional,Android,9,2,1,7,3,57,0,10
U339,38,Female,Business Owner,Android,6,2,7,5,2,50,4,8
U340,33,Other,Student,iOS,4,7,4,4,7,35,6,7
U341,34,Male,Student,Android,11,3,3,8,10,56,0,5
U342,43,Male,Business Owner,iOS,3,6,7,7,1,47,0,3
U343,26,Other,Student,iOS,11,5,7,8,4,39,2,14
U344,60,Female,Business Owner,Android,10,2,2,8,3,49,5,7
U345,59,Female,Professional,iOS,6,6,1,6,9,58,3,8
U346,37,Male,Business Owner,iOS,2,6,6,6,8,54,6,7
U347,47,Other,Professional,Android,11,7,4,9,8,52,1,5
U348,38,Female,Professional,Android,6,7,9,8,10,15,3,9
U349,22,Male,Freelancer,Android,5,8,8,4,9,26,1,2
U350,18,Male,Freelancer,iOS,2,6,3,5,6,15,0,11
U351,47,Other,Business Owner,iOS,5,5,5,4,4,27,2,6
U352,57,Female,Business Owner,iOS,5,2,10,5,2,32,3,4
U353,54,Female,Business Owner,iOS,4,8,3,6,8,39,2,14
U354,24,Male,Freelancer,iOS,12,6,2,5,8,6,4,10
U355,22,Female,Freelancer,iOS,6,3,9,8,7,47,4,6
U356,52,Female,Student,Android,4,4,9,9,4,6,5,9
U357,31,Male,Freelancer,Android,3,4,6,5,8,57,2,2
U358,50,Male,Professional,Android,5,3,8,6,1,50,2,12
U359,34,Female,Professional,Android,5,5,6,7,4,42,5,3
U360,26,Other,Business Owner,iOS,11,4,9,6,5,55,2,13
U361,40,Male,Student,Android,4,3,6,5,5,23,3,7
U362,22,Male,Professional,Android,5,3,7,4,8,36,6,7
U363,33,Female,Business Owner,Android,10,6,8,5,6,42,4,13
U364,41,Female,Professional,iOS,5,5,2,5,9,53,2,10
U365,36,Other,Business Owner,Android,5,3,7,7,6,25,5,7
U366,28,Other,Student,Android,11,3,2,6,5,44,1,4
U367,46,Other,Business Owner,iOS,4,3,8,5,1,8,1,11
U368,52,Male,Freelancer,Android,7,6,1,6,8,29,6,2
U369,37,Male,Business Owner,iOS,12,5,8,4,7,36,5,11
U370,57,Female,Business Owner,Android,3,3,5,6,9,15,0,11
U371,59,Male,Professional,Android,5,6,9,6,1,54,2,13
U372,51,Other,Business Owner,Android,5,1,9,6,2,40,4,9
U373,18,Other,Business Owner,Android,1,6,1,7,4,31,3,5
U374,60,Other,Professional,iOS,11,3,4,5,6,51,4,5
U375,53,Male,Professional,iOS,4,4,6,5,3,56,0,13
U376,37,Female,Freelancer,iOS,10,6,5,7,9,45,5,10
U377,60,Other,Student,iOS,2,5,2,4,5,13,1,12
U378,24,Male,Business Owner,Android,3,6,10,5,6,43,2,11
U379,26,Male,Business Owner,iOS,6,8,1,5,6,31,2,12
U380,34,Female,Student,Android,1,1,8,7,7,9,2,3
U381,25,Male,Freelancer,Android,5,4,1,8,5,52,5,11
U382,24,Female,Professional,Android,3,3,7,5,3,45,2,8
U383,53,Male,Business Owner,iOS,6,7,2,7,6,48,6,8
U384,27,Male,Professional,iOS,5,2,3,6,2,53,1,9
U385,35,Male,Freelancer,iOS,2,6,6,7,8,53,1,7
U386,36,Other,Business Owner,iOS,5,8,3,6,6,37,6,14
U387,56,Female,Business Owner,Android,4,5,2,7,4,60,5,13
U388,31,Male,Professional,iOS,3,4,6,6,10,13,4,4
U389,39,Male,Freelancer,iOS,1,2,6,7,8,31,4,4
U390,31,Female,Student,Android,3,6,5,5,4,43,5,3
U391,58,Female,Freelancer,Android,2,6,9,6,1,25,0,8
U392,34,Other,Freelancer,Android,12,1,5,8,9,39,2,12
U393,50,Other,Student,iOS,4,5,6,6,3,44,3,8
U394,49,Female,Freelancer,iOS,3,7,2,8,8,11,2,4
U395,34,Other,Business Owner,iOS,2,6,4,8,8,8,2,8
U396,21,Male,Student,iOS,8,7,3,6,6,59,2,7
U397,23,Female,Business Owner,iOS,4,3,9,8,10,54,3,12
U398,58,Male,Business Owner,iOS,1,2,4,5,8,25,2,7
U399,45,Other,Professional,iOS,6,6,9,6,3,53,2,6
U400,35,Other,Business Owner,Android,11,5,10,6,8,52,4,5
U401,20,Other,Business Owner,Android,11,8,8,8,8,50,0,12
U402,18,Male,Business Owner,Android,2,4,7,4,10,42,6,10
U403,39,Male,Professional,iOS,4,7,1,8,3,59,2,7
U404,26,Other,Professional,Android,7,1,5,7,7,16,0,8
U405,58,Other,Freelancer,iOS,9,7,9,7,4,58,5,10
U406,34,Female,Business Owner,iOS,3,5,3,8,2,19,5,6
U407,28,Other,Business Owner,Android,5,6,8,6,5,18,2,3
U408,46,Female,Freelancer,iOS,6,8,6,5,3,13,4,11
U409,53,Male,Freelancer,Android,2,1,10,7,7,30,0,8
U410,45,Female,Freelancer,iOS,4,8,6,5,5,33,1,4
U411,53,Other,Student,iOS,3,2,1,7,9,8,6,5
U412,18,Female,Freelancer,iOS,10,3,6,6,10,22,0,7
U413,25,Female,Business Owner,Android,4,3,7,6,3,32,2,7
U414,22,Female,Freelancer,Android,10,2,5,5,7,36,2,4
U415,27,Male,Professional,Android,2,2,6,8,10,26,5,10
U416,52,Other,Student,iOS,3,7,8,7,6,51,5,4
U417,20,Male,Freelancer,iOS,1,5,9,8,6,58,3,10
U418,41,Female,Professional,Android,11,2,3,8,8,60,1,11
U419,55,Other,Student,iOS,2,8,6,5,2,6,4,6
U420,53,Male,Freelancer,iOS,6,4,10,8,2,19,0,8
U421,27,Female,Professional,iOS,5,2,7,6,10,25,0,9
U422,45,Other,Professional,iOS,12,7,6,7,9,8,0,13
U423,26,Other,Student,iOS,3,8,10,7,4,10,1,14
U424,20,Male,Professional,Android,10,7,5,7,7,30,4,6
U425,37,Male,Student,Android,9,1,5,5,6,32,4,12
U426,41,Female,Freelancer,Android,6,5,7,5,9,55,6,6
U427,20,Male,Professional,iOS,2,6,5,6,6,31,2,12
U428,40,Female,Student,iOS,11,4,9,8,7,30,3,6
